MISSION_SEQ,INFL_CHANNEL_SEQ,INFL_CHANNEL_NICK,ACCEPT_FLAG,OPTION_SEQ,PRODUCT,LINK,UPLOAD_DATE,END_DATE,FOLLOWER_CNT,LIKE_CNT,REPLY_CNT,VIEW_CNT,CREATE_DATE,FULFILL,CONTENT_QLTY,HASHTAG_CMPLN,OPEN_GRAPH_IMG
196,2321,beri_ming__,Y,,,,,2020-09-07 00:00:00,0,0,0,0,2020-10-12 01:31:29,,,,
196,858,o.roraa,Y,,31JPF3061_50I,,,2020-09-07 00:00:00,0,0,0,0,2020-08-20 01:53:24,,,,
196,1308,k1mseohee,Y,91.0,31JPF1061_50B,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:42:33,,,,
196,1523,suyeon__sky,Y,91.0,31JPF1061_50B,https://www.instagram.com/p/CEoanQvl4pc/,2020-09-02 00:00:00,2020-09-07 00:00:00,21335,1054,28,0,2020-08-18 00:42:47,,40.0,20.0,
196,1192,_su_s2,Y,91.0,31JPF3061_07U,https://www.instagram.com/p/CEQbx-Dlcbi/,2020-08-24 00:00:00,2020-09-07 00:00:00,57377,1114,29,0,2020-08-18 00:42:56,,40.0,20.0,
196,1531,yells_x,Y,91.0,31JPF1061_50B,https://www.instagram.com/p/CELNmrqHHR4/,2020-08-22 00:00:00,2020-09-07 00:00:00,14365,912,0,0,2020-08-18 00:43:04,,,,
196,1521,h04rang,Y,91.0,31JPF1061_50I,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:43:11,,,,
196,1264,hxxyeoni,Y,91.0,31JPF6061_43B,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:43:19,,,,
196,1522,qtd___,Y,91.0,31JPF3061_43B,https://www.instagram.com/p/CEOBtUBB_UW/,2020-08-23 00:00:00,2020-09-07 00:00:00,76576,6196,113,0,2020-08-18 00:43:27,,,,
196,1272,sonjoo0.729,Y,91.0,31JPF2061_50I,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:43:36,,,,
196,1277,168___erica,Y,91.0,31JPF2061_50I,https://www.instagram.com/p/CEOzXs_MfVt/,2020-08-23 00:00:00,2020-09-07 00:00:00,14348,183,3,0,2020-08-18 00:43:44,,,,
196,1203,nyong99u,Y,91.0,31JPF3061_43B,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:43:53,,,,
196,1232,scy__smine,Y,91.0,31JPF2061_50I,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:44:00,,,,
196,1273,maa_yoon,Y,91.0,31JPF2061_43A,https://www.instagram.com/p/CFMUWKxh4nr/,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:44:07,,,,
196,1221,dawn.y_,Y,91.0,31JPF2061_43A,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:44:17,,,,
196,1528,iowe.tt,Y,91.0,31JPF3061_43B,https://www.instagram.com/p/CEVhHgwnuvC/,2020-08-26 00:00:00,2020-09-07 00:00:00,11186,643,21,0,2020-08-18 00:44:25,,,,
196,1195,suvinci_,Y,91.0,31JPF2061_07K,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:44:34,,,,
196,1519,sh__11.5,Y,91.0,31JPF2061_07K,https://www.instagram.com/p/CEMiq84ndWC/,2020-08-23 00:00:00,2020-09-07 00:00:00,23227,1108,21,0,2020-08-18 00:44:42,,,,
196,1324,2_elin,Y,91.0,31JPF2061_07K,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:44:52,,,,
196,1380,rheegna,Y,91.0,31JPF2061_07K,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:45:00,,,,
196,1534,se0zz,Y,91.0,31JPF3061_07U,https://www.instagram.com/p/CE6xNqAHOtU/,2020-09-09 00:00:00,2020-09-07 00:00:00,14705,221,3,0,2020-08-18 00:45:13,,,,
196,1518,peachcrush__,Y,91.0,31JPF3061_07U,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:55:24,,,,
196,1269,j_ssoohh,Y,91.0,31JPF3061_43B,https://www.instagram.com/p/CEYwCc2nIqs/,2020-08-27 00:00:00,2020-09-07 00:00:00,52715,896,30,0,2020-08-18 00:55:36,,,,
196,1240,joco_unni,Y,91.0,31JPF3061_43B,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:55:46,,,,
196,1529,ieenee._,Y,91.0,31JPF3061_43B,https://www.instagram.com/p/CETAyJoHnt6/,2020-08-25 00:00:00,2020-09-07 00:00:00,15604,717,39,0,2020-08-18 00:55:55,,,,
196,1329,hansugie,Y,91.0,31JPF3061_50I,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:56:03,,,,
196,1261,jeon9_a,Y,91.0,31JPF3061_50I,https://www.instagram.com/p/CFyRUpblUdq/,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:56:11,,,,
196,1141,rian_bliss,Y,91.0,31JPF2061_43A,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:56:19,,,,
196,1327,bomnal_day,Y,91.0,31JPF2061_43A,https://www.instagram.com/p/CEO4luNnltf/,2020-08-23 00:00:00,2020-09-07 00:00:00,35585,1016,11,0,2020-08-18 00:56:26,,,,
196,1285,364d_,Y,91.0,31JPF1061_43K,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:56:34,,,,
196,1167,its_suzy_time,Y,91.0,31JPF2061_50I,https://www.instagram.com/p/CFy7JuvBYmu/,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:56:44,,,,
196,1331,s2hyunnn,Y,91.0,31JPF1061_50B,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:56:52,,,,
196,919,wlgus2qh,Y,91.0,31JPF3061_50I,https://www.instagram.com/p/CEWgJz_DmQ2/,2020-08-26 00:00:00,2020-09-07 00:00:00,247176,5848,44,0,2020-08-18 00:57:20,,,,
196,1068,somsomvely,Y,91.0,31JPF1061_43K,https://www.instagram.com/p/CEjPpxYndRc/,2020-08-31 00:00:00,2020-09-07 00:00:00,249773,2661,74,0,2020-08-18 00:57:30,,,,
196,973,syung.kim_,Y,91.0,31JPF1061_50I,https://www.instagram.com/p/CEjEdtDnMyT/,2020-08-31 00:00:00,2020-09-07 00:00:00,272562,6451,77,0,2020-08-18 00:57:38,,30.0,20.0,
196,722,heex.x,Y,91.0,31JPF1061_50B,https://www.instagram.com/p/CEeIvnclUUm/,2020-08-29 00:00:00,2020-09-07 00:00:00,219655,4404,31,0,2020-08-18 00:57:46,,,,
196,1010,lee.um,Y,91.0,31JPF3061_07U,https://www.instagram.com/p/CEgPD9HD55g/,2020-08-30 00:00:00,2020-09-07 00:00:00,215578,2274,27,0,2020-08-18 00:57:58,,40.0,20.0,
196,1200,67m.m,Y,91.0,31JPF1061_50I,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:58:07,,,,
196,1077,yuuhyemin,Y,91.0,31JPF2061_43A,https://www.instagram.com/p/CElWdTCF-KQ/,2020-09-01 00:00:00,2020-09-07 00:00:00,201922,12363,28,0,2020-08-18 00:58:17,,,,
196,65,dpwls2da,Y,91.0,31JPF1061_50B,https://www.instagram.com/p/CET73D9FJd4/,2020-08-25 00:00:00,2020-09-07 00:00:00,175303,1931,31,0,2020-08-18 00:58:27,,40.0,20.0,
196,85,_____sia__,Y,91.0,31JPF4061_43P,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:58:35,,,,
196,1088,2tjdnjs,Y,91.0,31JPF2061_07K,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:58:42,,,,
196,1204,imyeonduu,Y,91.0,31JPF3061_50I,https://www.instagram.com/p/CEk_906HdxZ/,2020-09-01 00:00:00,2020-09-07 00:00:00,163754,1571,15,0,2020-08-18 00:58:51,,,,
196,62,pongnim_c,Y,91.0,31JPF3061_43B,https://www.instagram.com/p/CEO-_VDgXeI/,2020-08-23 00:00:00,2020-09-07 00:00:00,146424,1751,76,0,2020-08-18 00:58:58,,,,
196,1525,woou.c,Y,91.0,31JPF3061_43B,https://www.instagram.com/p/CEdQFD3DDPI/,2020-08-29 00:00:00,2020-09-07 00:00:00,229369,6485,103,0,2020-08-18 00:59:06,,,,
196,1175,lo9ve8r01s,Y,91.0,31JPF1061_50B,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:59:13,,,,
196,1309,hwa___ya,Y,91.0,31JPF3061_50I,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:59:21,,,,
196,229,da_yommmi,Y,91.0,31JPF1061_50I,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:59:29,,,,
196,1004,chaae.rin,Y,91.0,31JPF3061_07U,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:59:37,,,,
196,1152,byul__xx,Y,91.0,31JPF2061_43A,https://www.instagram.com/p/CFHQE_9BkhE/,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:59:46,,,,
196,915,dj_cheez_,Y,91.0,31JPF6061_50N,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 00:59:54,,,,
196,869,cq_bq,Y,91.0,31JPF2061_07K,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 01:00:03,,,,
196,883,xno.xx,Y,91.0,31JPF3061_43B,https://www.instagram.com/p/CFOVr6nnPss/,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 01:00:11,,,,
196,1237,l.o.v.e.e.u.n,Y,91.0,31JPF1061_43K,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 01:00:19,,,,
196,559,jjina_v0v,Y,91.0,31JPF1061_50I,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 01:00:28,,,,
196,900,xu.li9hts,Y,91.0,31JPF1061_43K,https://www.instagram.com/p/CEUOJSrHw9M/,2020-08-25 00:00:00,2020-09-07 00:00:00,119194,3008,103,0,2020-08-18 01:00:37,,,,
196,1151,ohmyseon,Y,91.0,31JPF1061_43K,https://www.instagram.com/p/CEn0aFgjTXb/,2020-09-02 00:00:00,2020-09-07 00:00:00,118753,1426,20,0,2020-08-18 01:00:45,,,,
196,905,sarahykim_,Y,91.0,31JPF3061_50I,,,2020-09-07 00:00:00,0,0,0,0,2020-08-18 01:00:54,,,,
196,231,yooni1022,Y,,31JPF1061_50I,https://www.instagram.com/p/CFW4hG7D2El/,,2020-09-07 00:00:00,0,0,0,0,2020-09-10 10:35:33,,,,
196,1373,jangeunhong,Y,91.0,31JPF3061_07U,https://www.instagram.com/p/CE6NzckH0lL/,2020-09-09 00:00:00,2020-09-07 00:00:00,15603,395,8,0,2020-08-18 01:33:32,,,,
196,1282,alistmary_,Y,,31JPF3061_07U,,,2020-09-07 00:00:00,0,0,0,0,2020-08-19 05:26:07,,,,
199,1044,woomng0401,Y,,31JPF3061_50I,,,2020-09-22 00:00:00,0,0,0,0,2020-08-24 01:28:46,,,,
199,1165,96._.bo,Y,92.0,31JPF3061_50I,https://www.instagram.com/p/CE5wP8FlmqK/,2020-09-09 00:00:00,2020-09-22 00:00:00,45042,436,22,0,2020-08-18 01:05:30,,40.0,20.0,
199,1321,hyungmiin,Y,92.0,31JPF1061_50B,,,2020-09-22 00:00:00,0,0,0,0,2020-08-18 01:05:38,,,,
199,1335,seop_song,Y,92.0,31JPF3061_50I,https://www.instagram.com/seop_song/,,2020-09-22 00:00:00,0,0,0,0,2020-08-18 01:05:49,,,,
199,989,leewoon19,Y,92.0,31JPF1061_50I,,,2020-09-22 00:00:00,0,0,0,0,2020-08-18 01:05:57,,,,
199,1317,smxmu,Y,92.0,31JPF2061_43A,https://www.instagram.com/p/CEjNQ1JpKzw/,2020-08-31 00:00:00,2020-09-22 00:00:00,61032,2201,55,0,2020-08-18 01:06:04,,,,
199,859,leetaekk,Y,92.0,31JPF3061_43B,https://www.instagram.com/p/CFMqkm9pLWJ/,,2020-09-22 00:00:00,0,0,0,0,2020-08-18 01:06:11,,,,
199,863,im_pinggggg,Y,92.0,31JPF3061_50I,,,2020-09-22 00:00:00,0,0,0,0,2020-08-18 01:06:26,,,,
199,803,eun_doitz,Y,92.0,31JPF3061_07U,https://www.instagram.com/p/CEwAJwIhh2e/,2020-09-05 00:00:00,2020-09-22 00:00:00,353711,7667,45,0,2020-08-18 01:06:35,,20.0,20.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/118808319_348917026283939_8200628605730162441_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=pgy2KpNBIFMAX8ekImM&_nc_tp=19&oh=10ce12787b66c4553644236119c6e374&oe=5F94404F
199,1027,chul2gram,Y,92.0,31JPF1061_43K,https://www.instagram.com/p/CEOUIz_As6r/,2020-08-23 00:00:00,2020-09-22 00:00:00,94343,1067,62,0,2020-08-18 01:06:44,,40.0,20.0,
199,979,929.jpg,Y,92.0,31JPF1061_50B,https://www.instagram.com/p/CEeIeLrBjvL/,2020-08-29 00:00:00,2020-09-22 00:00:00,58001,1025,64,0,2020-08-18 01:06:52,,,,
199,1161,bino___x,Y,92.0,31JPF2061_07K,https://www.instagram.com/p/CElKixtBwQK/,2020-09-01 00:00:00,2020-09-22 00:00:00,37145,946,29,0,2020-08-18 01:07:00,,,,
199,1019,wnsur,Y,92.0,31JPF3061_07U,https://www.instagram.com/p/CEONYR6BKHE/,2020-08-23 00:00:00,2020-09-22 00:00:00,24059,493,36,0,2020-08-18 01:07:10,,,,
199,223,koo_jg,Y,92.0,31JPF1061_50B,https://www.instagram.com/p/CEaob8xnD_K/,2020-08-28 00:00:00,2020-09-22 00:00:00,10101,224,0,0,2020-08-18 01:07:18,,40.0,20.0,
199,84,onlyonefreedom,Y,92.0,31JPF2061_07K,https://www.instagram.com/p/CEUBvZ4D3ER/,2020-08-25 00:00:00,2020-09-22 00:00:00,50071,469,29,0,2020-08-18 01:07:27,,40.0,20.0,
199,213,_choiiii__,Y,92.0,31JPF3061_50I,,,2020-09-22 00:00:00,0,0,0,0,2020-08-18 01:07:35,,,,
199,76,rolemodel_ryu,Y,92.0,31JPF3061_07U,https://www.instagram.com/p/CE3CLSdFiEh/,2020-09-08 00:00:00,2020-09-22 00:00:00,151314,2779,26,0,2020-08-18 01:07:43,,40.0,20.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/118848951_328413204937793_8810066337589057034_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=XMJU6NB52q0AX_d2N9Q&_nc_tp=18&oh=f995dc7895d0a593669e5f2c4bb12ba8&oe=5F95670C
199,1378,orada5,Y,92.0,31JPF2061_43A,https://www.instagram.com/p/CEYLrq1nrOl/,,2020-09-22 00:00:00,0,0,0,0,2020-08-18 01:07:51,,,,
199,809,hbro_ys,Y,92.0,31JPF3061_43B,,,2020-09-22 00:00:00,0,0,0,0,2020-08-18 01:08:00,,,,
199,1023,_perfect_jay_,Y,92.0,31JPF1061_50I,https://www.instagram.com/p/CERa7-PF_Hw/,2020-08-24 00:00:00,2020-09-22 00:00:00,54653,799,64,0,2020-08-18 01:08:07,,40.0,20.0,
199,1022,scott.im,Y,92.0,31JPF3061_07U,https://www.instagram.com/p/CEOqAcosgTC/,2020-08-23 00:00:00,2020-09-22 00:00:00,66080,1547,44,0,2020-08-18 01:08:16,,,,
199,1030,hyeon__e_,Y,92.0,31JPF1061_50B,,,2020-09-22 00:00:00,0,0,0,0,2020-08-18 01:08:33,,,,
199,799,h___ryan,Y,92.0,31JPF3061_50I,https://www.instagram.com/p/CEL-mZWhbI3/,2020-08-22 00:00:00,2020-09-22 00:00:00,24709,2055,26,0,2020-08-18 01:08:50,,,,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/117949930_1048750125582941_9109251807058573025_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=7kNyHvXGOPgAX80DE-i&_nc_tp=19&oh=784503e029ac66e6f93301b976302dd1&oe=5F964E3A
199,1793,s_bbbinn,Y,92.0,31JPF3061_50I,,,2020-09-22 00:00:00,0,0,0,0,2020-08-18 01:08:58,,,,
199,1787,__kazama_,Y,92.0,31JPF1061_50I,https://www.instagram.com/p/CEiYawFj1Q1/,2020-08-31 00:00:00,2020-09-22 00:00:00,12896,1106,8,0,2020-08-18 01:09:06,,40.0,20.0,
199,1355,e.n_h.o,Y,92.0,31JPF3061_43B,https://www.instagram.com/p/CEeNkndpu2F/,2020-08-29 00:00:00,2020-09-22 00:00:00,15070,323,30,0,2020-08-18 01:09:14,,,,
199,1349,li.hyuk,Y,92.0,31JPF1061_50I,https://www.instagram.com/p/CEyZ1JxBTrI/,2020-09-06 00:00:00,2020-09-22 00:00:00,28436,3436,114,0,2020-08-18 01:09:32,,,,
199,1332,1m_sik7,Y,92.0,31JPF1061_50B,https://www.instagram.com/p/CEM3zPWBBAl/,2020-08-23 00:00:00,2020-09-22 00:00:00,23908,1211,14,0,2020-08-18 01:09:42,,,,
199,1305,70.7kg,Y,92.0,31JPF2061_43A,,,2020-09-22 00:00:00,0,0,0,0,2020-08-18 01:09:50,,,,
199,1271,dykeee,Y,92.0,31JPF1061_50B,,,2020-09-22 00:00:00,0,0,0,0,2020-08-18 01:09:59,,,,
199,1254,_dobbizz,Y,92.0,31JPF2061_43A,,,2020-09-22 00:00:00,0,0,0,0,2020-08-18 01:10:08,,,,
199,1055,drleejd_10,Y,92.0,31JPF2061_07K,,,2020-09-22 00:00:00,0,0,0,0,2020-08-18 01:10:17,,,,
199,1026,hyuk222,Y,92.0,31JPF1061_43K,https://www.instagram.com/p/CEV6W4GjVcU/,2020-08-26 00:00:00,2020-09-22 00:00:00,24961,278,16,0,2020-08-18 01:10:26,,40.0,20.0,
199,1025,gloyk91,Y,92.0,31JPF3061_50I,https://www.instagram.com/p/CEg0MfgDLS5/,2020-08-30 00:00:00,2020-09-22 00:00:00,39101,963,14,0,2020-08-18 01:10:33,,,,
199,1020,zzoon.e,Y,92.0,31JPF1061_50I,https://www.instagram.com/p/CEedq6vj1rJ/,2020-08-29 00:00:00,2020-09-22 00:00:00,27823,445,14,0,2020-08-18 01:10:40,,40.0,20.0,
199,1018,yooncarp,Y,92.0,31JPF1061_43K,https://www.instagram.com/p/CFMlJETlS_H/,2020-09-16 00:00:00,2020-09-22 00:00:00,53130,1370,40,0,2020-08-18 01:10:48,,,,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/119539168_937105246776665_6993923193904349726_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=WNXgZIx6ttIAX-amQUY&_nc_tp=15&oh=a3d9fbac7ece3e1af4564dd60d888939&oe=5F96FE63
199,1008,hyun4good,Y,92.0,31JPF3061_50I,https://www.instagram.com/p/CEftuNJFJL6/,2020-08-30 00:00:00,2020-09-22 00:00:00,23093,441,10,0,2020-08-18 01:10:56,,,,
199,811,k.imin,Y,92.0,31JPF2061_43A,,,2020-09-22 00:00:00,0,0,0,0,2020-08-18 01:11:04,,,,
199,808,mingso0,Y,92.0,31JPF3061_50I,https://www.instagram.com/p/CEaxcdQjfTL/,2020-08-28 00:00:00,2020-09-22 00:00:00,45999,1106,31,0,2020-08-18 01:11:12,,40.0,20.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/118591863_131863328618282_2945274719442670040_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=vhkvCb29gHkAX-89Kw_&_nc_tp=19&oh=cdac7567f815522e72437faac28bd0c5&oe=5F97AF5F
199,806,byeongyunsss,Y,92.0,31JPF3061_50I,https://www.instagram.com/p/CEPFaVyhsXW/,2020-08-23 00:00:00,2020-09-22 00:00:00,23245,1014,62,0,2020-08-18 01:11:21,,,,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/118236135_298754891421946_9024086661308132387_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=tL9RPR08GToAX8lMlY2&_nc_tp=15&oh=1b0a91738d49eb313031c0a2042958a1&oe=5F979BE4
199,805,hit_taek,Y,92.0,31JPF1061_50I,https://www.instagram.com/p/CEinX1spNXA/,2020-08-31 00:00:00,2020-09-22 00:00:00,62355,1062,6,0,2020-08-18 01:11:28,,40.0,20.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/118554008_190479652449581_1869963335273415227_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=BQr-bVSzuHgAX_D_uTd&_nc_tp=15&oh=afa3ba26ced7d54d8b27ea9af74776d2&oe=5F97981C
199,232,in_s07,Y,92.0,31JPF2061_43A,,,2020-09-22 00:00:00,0,0,0,0,2020-08-18 01:11:36,,,,
199,225,m.sik,Y,92.0,31JPF1061_43K,,,2020-09-22 00:00:00,0,0,0,0,2020-08-18 01:11:45,,,,
199,199,shinsoo0825,Y,92.0,31JPF3061_50I,,,2020-09-22 00:00:00,0,0,0,0,2020-08-18 01:11:52,,,,
199,193,realsei,Y,92.0,31JPF2061_50I,,,2020-09-22 00:00:00,0,0,0,0,2020-08-18 01:12:00,,,,
199,175,parcjeongjin,Y,92.0,31JPF2061_50I,,,2020-09-22 00:00:00,0,0,0,0,2020-08-18 01:12:16,,,,
199,1966,hello_whyy,Y,,,,,2020-09-22 00:00:00,0,0,0,0,2020-09-10 10:57:25,,,,
199,52,dearmyheartt,Y,,31JPF2061_50I,,,2020-09-22 00:00:00,0,0,0,0,2020-08-19 00:13:08,,,,
200,495,International Couple[사샤와 제이],Y,93.0,"31JPF3061_07U,31JPF3061_07U",https://www.instagram.com/p/CETNEq9nPhd/?utm_source=ig_web_copy_link,,2020-10-06 00:00:00,0,0,0,0,2020-08-18 01:21:48,,,,
200,521,__yhho,Y,93.0,"31JPF3061_07U,31JPF3061_07U",https://www.instagram.com/p/CEjkEfsFVRh/,2020-09-04 00:00:00,2020-10-06 00:00:00,118774,8408,105,0,2020-08-18 01:23:07,,40.0,,
200,1962,_b_o_eun,Y,93.0,"31JPF1061_43K,31JPF1061_43K",https://www.instagram.com/p/CEN92I3HxBU/,2020-08-23 00:00:00,2020-10-06 00:00:00,1214,143,4,0,2020-08-18 01:23:22,,40.0,20.0,
200,1963,_ssunghho,Y,93.0,"31JPF3061_50I,31JPF3061_50I",https://www.instagram.com/p/CEgv7NBDJrB/,2020-08-30 00:00:00,2020-10-06 00:00:00,11082,648,100,0,2020-08-18 01:23:31,,40.0,20.0,
200,1964,nasajji.hi,Y,93.0,"31JPF2061_07K,31JPF2061_07K",https://www.instagram.com/p/CEOy67zlBZB/,2020-08-23 00:00:00,2020-10-06 00:00:00,8429,272,75,0,2020-08-18 01:23:39,,40.0,20.0,
200,1965,___yunh,Y,93.0,"31JPF2061_07K,31JPF2061_07K",https://www.instagram.com/p/CEOi-3vHajI/,2020-08-23 00:00:00,2020-10-06 00:00:00,6109,265,14,0,2020-08-18 01:23:49,,,,
200,1966,hello_whyy,Y,93.0,"31JPF2061_07K,31JPF2061_07K",https://www.instagram.com/p/CEVuM-QD22L/,2020-08-26 00:00:00,2020-10-06 00:00:00,74668,677,5,0,2020-08-18 01:23:57,,40.0,20.0,
200,1967,bb_stg,Y,93.0,"31JPF2061_50I,31JPF2061_07K",https://www.instagram.com/p/CEQVVO-jXqU/?utm_source=ig_web_copy_link,2020-09-23 00:00:00,2020-10-06 00:00:00,10409,600,15,0,2020-08-18 01:24:05,,30.0,20.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/120026270_184734126391442_472672945837036483_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=L_G_iqB0--AAX-O1zHF&_nc_tp=19&oh=a46cf7f272b733f8071497ba742bcf25&oe=5FA91390
200,1981,kkyu_s2,Y,,"31JPF3061_50I,31JPF3061_50I",https://www.instagram.com/p/CEWgSo6ncFs/?utm_source=ig_web_copy_link,,2020-10-06 00:00:00,0,0,0,0,2020-08-19 00:07:02,,,,
