MISSION_SEQ,INFL_CHANNEL_NICK,LINK,UPLOAD_DATE,END_DATE,FOLLOWER_CNT,follower_score,LIKE_CNT,REPLY_CNT,CONTENT_QLTY,HASHTAG_CMPLN,interaction,interaction_score,due,due_score,hashtag_score,quality_score,ttl_score,CLS
182,rockchaeeun,https://www.instagram.com/p/CDvvHGWJki3/,2020-08-11,2020-09-07,200833,25,1390,31,30.0,20.0,1421,15,-27 days +00:00:00.000000000,1,10.0,15.0,65.0,B
182,j_able,https://www.instagram.com/p/CDvgYh8g5FP/,2020-08-11,2020-09-07,46782,15,469,50,40.0,20.0,519,1,-27 days +00:00:00.000000000,1,10.0,20.0,46.0,C
182,una_jung,https://www.instagram.com/p/CDqOUa2g1l3/,2020-08-09,2020-09-07,79786,20,1188,44,40.0,20.0,1232,10,-29 days +00:00:00.000000000,1,10.0,20.0,60.0,B
182,rihey__,https://www.instagram.com/p/CDlCoR5lmJa/,2020-08-07,2020-09-07,38782,15,1038,4,40.0,20.0,1042,5,-31 days +00:00:00.000000000,1,10.0,20.0,50.0,C
182,ya.stacey,https://www.instagram.com/p/CELc0JiHGzt/,2020-08-22,2020-09-07,246578,25,3138,31,40.0,,3169,20,-16 days +00:00:00.000000000,1,,20.0,,D
182,redlic_haeun95,https://www.instagram.com/p/CDrOtY7prI1/,2020-08-10,2020-09-07,85733,20,2601,9,40.0,20.0,2610,15,-28 days +00:00:00.000000000,1,10.0,20.0,65.0,B
182,yells_x,https://www.instagram.com/p/CDnzkN_H2c1/,2020-08-08,2020-09-07,14365,10,804,0,40.0,20.0,804,5,-30 days +00:00:00.000000000,1,10.0,20.0,45.0,C
183,96._.bo,https://www.instagram.com/p/CDnz3J2ljqc/,2020-08-08,2020-09-07,45530,15,417,21,40.0,20.0,438,5,-30 days +00:00:00.000000000,1,10.0,20.0,50.0,C
183,euneeew,https://www.instagram.com/p/CDyW6JkB6n5/,2020-08-12,2020-09-07,142930,25,4380,26,40.0,20.0,4406,20,-26 days +00:00:00.000000000,1,10.0,20.0,75.0,B
183,chul2gram,https://www.instagram.com/p/CDqtYySgNr6/,2020-08-09,2020-09-07,94507,20,939,25,40.0,20.0,964,15,-29 days +00:00:00.000000000,1,10.0,20.0,65.0,B
183,koo_jg,https://www.instagram.com/p/CDqFFpcn4Wq/,2020-08-09,2020-09-07,10125,10,277,3,40.0,20.0,280,5,-29 days +00:00:00.000000000,1,10.0,20.0,45.0,C
183,godo.re,https://www.instagram.com/p/CD-p9PWDdrn/,2020-08-17,2020-09-07,14882,10,790,37,40.0,20.0,827,10,-21 days +00:00:00.000000000,1,10.0,20.0,50.0,C
183,__yhho,https://www.instagram.com/p/CD6Xn7FFZeP/,2020-08-15,2020-09-07,112890,25,8167,130,40.0,20.0,8297,20,-23 days +00:00:00.000000000,1,10.0,20.0,75.0,B
183,5jhyun,https://www.instagram.com/p/CD3DyeaFmS6/,2020-08-14,2020-09-07,5777,5,229,9,40.0,20.0,238,1,-24 days +00:00:00.000000000,1,10.0,20.0,36.0,C
183,rolemodel_ryu,https://www.instagram.com/p/CD3nF-hFCbC/,2020-08-14,2020-09-07,150599,25,2821,20,20.0,20.0,2841,15,-24 days +00:00:00.000000000,1,10.0,10.0,60.0,B
191,dpwls2da,https://www.instagram.com/p/CFLl6GuFI-r/?utm_source=ig_web_copy_link,2020-09-09,2020-09-07,179607,25,414,14,40.0,20.0,428,5,2 days 00:00:00.000000000,0.8,10.0,20.0,52.0,B
191,pongnim_c,https://www.instagram.com/p/CD_YpWPpA9D/,2020-08-17,2020-09-07,146753,25,1893,87,40.0,20.0,1980,15,-21 days +00:00:00.000000000,1.0,10.0,20.0,70.0,B
191,onlyonefreedom,https://www.instagram.com/p/CEEpESeD53S/,2020-08-19,2020-09-07,50081,20,699,43,40.0,20.0,742,10,-19 days +00:00:00.000000000,1.0,10.0,20.0,60.0,B
191,lunaticdus_,https://www.instagram.com/p/CEzKnFIHLPz/,2020-09-07,2020-09-07,37128,15,3663,24,40.0,10.0,3687,20,0 days 00:00:00.000000000,1.0,5.0,20.0,60.0,B
191,o.roraa,https://www.instagram.com/p/CEOMXFlAk7t/,2020-08-23,2020-09-07,353626,30,998,14,40.0,20.0,1012,10,-15 days +00:00:00.000000000,1.0,10.0,20.0,70.0,B
191,iamsezero,https://www.instagram.com/p/CELA5wtJ_Rx/,2020-08-22,2020-09-07,302868,30,4087,25,40.0,20.0,4112,20,-16 days +00:00:00.000000000,1.0,10.0,20.0,80.0,B
191,ohmyseon,https://www.instagram.com/p/CEPTa0Ijayy/,2020-08-24,2020-09-07,119855,25,2013,17,10.0,20.0,2030,15,-14 days +00:00:00.000000000,1.0,10.0,5.0,55.0,B
191,a________n.k,https://www.instagram.com/p/CEDn4VMnQJv/,2020-08-19,2020-09-07,73303,20,2003,42,30.0,20.0,2045,20,-19 days +00:00:00.000000000,1.0,10.0,15.0,65.0,B
191,chayoo_jin,https://www.instagram.com/p/CD3ioX7Hyod/,2020-08-14,2020-09-07,49288,15,1135,13,40.0,20.0,1148,15,-24 days +00:00:00.000000000,1.0,10.0,20.0,60.0,B
191,sujiarchive,https://www.instagram.com/p/CECAwJyD8ve/,2020-08-18,2020-09-07,12881,10,331,9,30.0,20.0,340,5,-20 days +00:00:00.000000000,1.0,10.0,15.0,40.0,C
191,moonyung2,https://www.instagram.com/p/CEOEJEAp0wS/,2020-08-23,2020-09-07,26708,10,272,17,20.0,20.0,289,1,-15 days +00:00:00.000000000,1.0,10.0,10.0,31.0,C
191,a_zi.zi,https://www.instagram.com/p/CD8aCzHlHP7/,2020-08-16,2020-09-07,18955,10,233,7,30.0,20.0,240,1,-22 days +00:00:00.000000000,1.0,10.0,15.0,36.0,C
191,2_elin,https://www.instagram.com/p/CDjgzPdhpZX/,2020-08-07,2020-09-07,29550,10,414,75,40.0,10.0,489,5,-31 days +00:00:00.000000000,1.0,5.0,20.0,40.0,C
191,dawn.y_,https://www.instagram.com/p/CEWFV5DHnag/,2020-08-26,2020-09-07,24643,10,812,0,30.0,20.0,812,10,-12 days +00:00:00.000000000,1.0,10.0,15.0,45.0,C
191,simsvely,https://www.instagram.com/p/CEbo-3_MXt1/,2020-08-28,2020-09-07,32180,15,269,21,30.0,20.0,290,1,-10 days +00:00:00.000000000,1.0,10.0,15.0,41.0,C
191,ehcl15,https://www.instagram.com/p/CE37HyanJq4/,2020-09-08,2020-09-07,232418,25,3520,43,10.0,10.0,3563,20,1 days 00:00:00.000000000,0.8,5.0,5.0,45.0,C
196,suyeon__sky,https://www.instagram.com/p/CEoanQvl4pc/,2020-09-02,2020-09-07,21335,10,1054,28,40.0,20.0,1082,1,-5 days +00:00:00.000000000,1,10.0,20.0,41.0,C
196,_su_s2,https://www.instagram.com/p/CEQbx-Dlcbi/,2020-08-24,2020-09-07,57377,20,1114,29,40.0,20.0,1143,5,-14 days +00:00:00.000000000,1,10.0,20.0,55.0,B
196,syung.kim_,https://www.instagram.com/p/CEjEdtDnMyT/,2020-08-31,2020-09-07,272562,25,6451,77,30.0,20.0,6528,20,-7 days +00:00:00.000000000,1,10.0,15.0,70.0,B
196,lee.um,https://www.instagram.com/p/CEgPD9HD55g/,2020-08-30,2020-09-07,215578,25,2274,27,40.0,20.0,2301,15,-8 days +00:00:00.000000000,1,10.0,20.0,70.0,B
196,dpwls2da,https://www.instagram.com/p/CET73D9FJd4/,2020-08-25,2020-09-07,175303,25,1931,31,40.0,20.0,1962,10,-13 days +00:00:00.000000000,1,10.0,20.0,65.0,B
199,96._.bo,https://www.instagram.com/p/CE5wP8FlmqK/,2020-09-09,2020-09-22,45042,15,436,22,40.0,20.0,458,5,-13 days +00:00:00.000000000,1,10.0,20.0,50.0,C
199,eun_doitz,https://www.instagram.com/p/CEwAJwIhh2e/,2020-09-05,2020-09-22,353711,30,7667,45,20.0,20.0,7712,20,-17 days +00:00:00.000000000,1,10.0,10.0,70.0,B
199,chul2gram,https://www.instagram.com/p/CEOUIz_As6r/,2020-08-23,2020-09-22,94343,20,1067,62,40.0,20.0,1129,15,-30 days +00:00:00.000000000,1,10.0,20.0,65.0,B
199,koo_jg,https://www.instagram.com/p/CEaob8xnD_K/,2020-08-28,2020-09-22,10101,10,224,0,40.0,20.0,224,1,-25 days +00:00:00.000000000,1,10.0,20.0,41.0,C
199,onlyonefreedom,https://www.instagram.com/p/CEUBvZ4D3ER/,2020-08-25,2020-09-22,50071,20,469,29,40.0,20.0,498,10,-28 days +00:00:00.000000000,1,10.0,20.0,60.0,B
199,rolemodel_ryu,https://www.instagram.com/p/CE3CLSdFiEh/,2020-09-08,2020-09-22,151314,25,2779,26,40.0,20.0,2805,20,-14 days +00:00:00.000000000,1,10.0,20.0,75.0,B
199,_perfect_jay_,https://www.instagram.com/p/CERa7-PF_Hw/,2020-08-24,2020-09-22,54653,20,799,64,40.0,20.0,863,10,-29 days +00:00:00.000000000,1,10.0,20.0,60.0,B
199,__kazama_,https://www.instagram.com/p/CEiYawFj1Q1/,2020-08-31,2020-09-22,12896,10,1106,8,40.0,20.0,1114,15,-22 days +00:00:00.000000000,1,10.0,20.0,55.0,B
199,hyuk222,https://www.instagram.com/p/CEV6W4GjVcU/,2020-08-26,2020-09-22,24961,10,278,16,40.0,20.0,294,1,-27 days +00:00:00.000000000,1,10.0,20.0,41.0,C
199,zzoon.e,https://www.instagram.com/p/CEedq6vj1rJ/,2020-08-29,2020-09-22,27823,10,445,14,40.0,20.0,459,5,-24 days +00:00:00.000000000,1,10.0,20.0,45.0,C
199,mingso0,https://www.instagram.com/p/CEaxcdQjfTL/,2020-08-28,2020-09-22,45999,15,1106,31,40.0,20.0,1137,20,-25 days +00:00:00.000000000,1,10.0,20.0,65.0,B
199,hit_taek,https://www.instagram.com/p/CEinX1spNXA/,2020-08-31,2020-09-22,62355,20,1062,6,40.0,20.0,1068,10,-22 days +00:00:00.000000000,1,10.0,20.0,60.0,B
200,__yhho,https://www.instagram.com/p/CEjkEfsFVRh/,2020-09-04,2020-10-06,118774,25,8408,105,40.0,,8513,20,-32 days +00:00:00.000000000,1,,20.0,,D
200,_b_o_eun,https://www.instagram.com/p/CEN92I3HxBU/,2020-08-23,2020-10-06,1214,5,143,4,40.0,20.0,147,1,-44 days +00:00:00.000000000,1,10.0,20.0,36.0,C
200,_ssunghho,https://www.instagram.com/p/CEgv7NBDJrB/,2020-08-30,2020-10-06,11082,10,648,100,40.0,20.0,748,20,-37 days +00:00:00.000000000,1,10.0,20.0,60.0,B
200,nasajji.hi,https://www.instagram.com/p/CEOy67zlBZB/,2020-08-23,2020-10-06,8429,5,272,75,40.0,20.0,347,5,-44 days +00:00:00.000000000,1,10.0,20.0,40.0,C
200,hello_whyy,https://www.instagram.com/p/CEVuM-QD22L/,2020-08-26,2020-10-06,74668,20,677,5,40.0,20.0,682,15,-41 days +00:00:00.000000000,1,10.0,20.0,65.0,B
200,bb_stg,https://www.instagram.com/p/CEQVVO-jXqU/?utm_source=ig_web_copy_link,2020-09-23,2020-10-06,10409,10,600,15,30.0,20.0,615,10,-13 days +00:00:00.000000000,1,10.0,15.0,45.0,C
212,alyisia_gry,https://www.instagram.com/p/CEiGOHvsbhs/,2020-08-31,2020-09-21,273210,25,4371,99,40.0,20.0,4470,20,-21 days +00:00:00.000000000,1,10.0,20.0,75.0,B
212,koo_jg,https://www.instagram.com/p/CEquhEFH3F8/,2020-09-03,2020-09-21,10095,10,286,4,40.0,20.0,290,10,-18 days +00:00:00.000000000,1,10.0,20.0,50.0,C
212,barbie_rachel_q.p,https://www.instagram.com/p/CFNUYftHA7U/,2020-09-17,2020-09-21,67193,20,7471,23,10.0,20.0,7494,20,-4 days +00:00:00.000000000,1,10.0,5.0,55.0,B
212,_sunheekimm,https://www.instagram.com/p/CEtWbfEn-ur/,2020-09-04,2020-09-21,14468,10,418,13,40.0,20.0,431,10,-17 days +00:00:00.000000000,1,10.0,20.0,50.0,C
212,ssu_ming,https://www.instagram.com/p/CEwAMB0HFE2/,2020-09-05,2020-09-21,9629,5,207,11,40.0,20.0,218,5,-16 days +00:00:00.000000000,1,10.0,20.0,40.0,C
212,godo.re,https://www.instagram.com/p/CEqf3SEjDIR/,2020-09-03,2020-09-21,14606,10,820,35,40.0,20.0,855,15,-18 days +00:00:00.000000000,1,10.0,20.0,55.0,B
212,xhaenax,https://www.instagram.com/p/CEgKr3ZHMMU/,2020-08-30,2020-09-21,125416,25,1256,15,30.0,20.0,1271,15,-22 days +00:00:00.000000000,1,10.0,15.0,65.0,B
212,rolemodel_ryu,https://www.instagram.com/p/CEtWj4plhZN/,2020-09-04,2020-09-21,151134,25,2671,45,40.0,20.0,2716,15,-17 days +00:00:00.000000000,1,10.0,20.0,70.0,B
212,somevely,https://www.instagram.com/p/CEyeVM4BsTS/,2020-09-06,2020-09-21,39239,15,176,13,30.0,20.0,189,1,-15 days +00:00:00.000000000,1,10.0,15.0,41.0,C
212,dj_siena,https://www.instagram.com/p/CEvdiQVFcpe/,2020-09-05,2020-09-21,637369,35,9142,73,40.0,20.0,9215,20,-16 days +00:00:00.000000000,1,10.0,20.0,85.0,A
212,pongnim_c,https://www.instagram.com/p/CE_vcZUAghp/,2020-09-11,2020-09-21,146703,25,1683,49,40.0,20.0,1732,15,-10 days +00:00:00.000000000,1,10.0,20.0,70.0,B
212,jyong2,https://www.instagram.com/p/CEjGww6B-ma/,2020-08-31,2020-09-21,48066,15,527,18,30.0,20.0,545,10,-21 days +00:00:00.000000000,1,10.0,15.0,50.0,C
212,sjiwoo_o,https://www.instagram.com/p/CFCUHkDDwNK/,2020-09-12,2020-09-21,1821,5,147,0,40.0,20.0,147,1,-9 days +00:00:00.000000000,1,10.0,20.0,36.0,C
212,shinnashinna,https://www.instagram.com/p/CEwDufMHNJM/,2020-09-05,2020-09-21,3279,5,183,9,40.0,20.0,192,1,-16 days +00:00:00.000000000,1,10.0,20.0,36.0,C
212,shinsoo0825,https://www.instagram.com/p/CFCCfQohyIn/,2020-09-12,2020-09-21,12075,10,268,4,30.0,20.0,272,5,-9 days +00:00:00.000000000,1,10.0,15.0,40.0,C
212,euddeume_,https://www.instagram.com/p/CFJt1-jFL4o/,2020-09-15,2020-09-21,404200,30,7802,37,40.0,20.0,7839,20,-6 days +00:00:00.000000000,1,10.0,20.0,80.0,B
212,foxy.is.me,https://www.instagram.com/p/CEs3qJBnM8j/?utm_source=ig_web_copy_link,2020-09-15,2020-09-21,74945,20,579,0,40.0,20.0,579,10,-6 days +00:00:00.000000000,1,10.0,20.0,60.0,B
212,__yhho,https://www.instagram.com/p/CE4L9TVlbp6/,2020-09-08,2020-09-21,123135,25,3839,75,10.0,20.0,3914,20,-13 days +00:00:00.000000000,1,10.0,5.0,60.0,B
212,sangeunann,https://www.instagram.com/p/CFML-7NAHSX/,2020-09-16,2020-09-21,30090,15,488,24,30.0,20.0,512,10,-5 days +00:00:00.000000000,1,10.0,15.0,50.0,C
212,5jhyun,https://www.instagram.com/p/CEq0knFlc69/,2020-09-03,2020-09-21,5761,5,262,8,40.0,20.0,270,5,-18 days +00:00:00.000000000,1,10.0,20.0,40.0,C
212,yoon_hh,https://www.instagram.com/p/CEeINorHHQv/,2020-08-29,2020-09-21,235207,25,2867,10,40.0,20.0,2877,15,-23 days +00:00:00.000000000,1,10.0,20.0,70.0,B
212,lee_jaedoo,https://www.instagram.com/p/CEwK2F4pOQy/,2020-09-05,2020-09-21,3767,5,191,24,40.0,20.0,215,5,-16 days +00:00:00.000000000,1,10.0,20.0,40.0,C
212,onlyonefreedom,https://www.instagram.com/p/CE9GxT2DpAX/,2020-09-10,2020-09-21,50053,20,676,34,40.0,20.0,710,15,-11 days +00:00:00.000000000,1,10.0,20.0,65.0,B
212,rockchaeeun,https://www.instagram.com/p/CFopkoapKe6/?utm_source=ig_web_copy_link,2020-09-15,2020-09-21,201065,25,1637,30,40.0,10.0,1667,15,-6 days +00:00:00.000000000,1,5.0,20.0,65.0,B
212,yuna_1_27,https://www.instagram.com/p/CElblBInd43/,2020-09-01,2020-09-21,121495,25,24286,108,40.0,20.0,24394,20,-20 days +00:00:00.000000000,1,10.0,20.0,75.0,B
212,jl_yoojin,https://www.instagram.com/p/CEn9UvPjEjS/,2020-09-02,2020-09-21,114398,25,680,3,40.0,20.0,683,10,-19 days +00:00:00.000000000,1,10.0,20.0,65.0,B
212,meun_miu,https://www.instagram.com/p/CE9Qt6_DUKF/,2020-09-10,2020-09-21,2238,5,153,25,40.0,10.0,178,1,-11 days +00:00:00.000000000,1,5.0,20.0,31.0,C
212,been_0.0_,https://www.instagram.com/p/CErLfmXAGvY/,2020-09-03,2020-09-21,3843,5,280,27,40.0,20.0,307,10,-18 days +00:00:00.000000000,1,10.0,20.0,45.0,C
212,zizian_ber,https://www.instagram.com/p/CE-0pI8li2r/,2020-09-11,2020-09-21,16922,10,452,12,10.0,,464,10,-10 days +00:00:00.000000000,1,,5.0,,D
212,lovely_cmj,https://www.instagram.com/p/CFGatVvj8Rg/,2020-09-14,2020-09-21,34938,15,191,8,40.0,20.0,199,1,-7 days +00:00:00.000000000,1,10.0,20.0,46.0,C
212,2seu1,https://www.instagram.com/p/CE3qYGygf_E/,2020-09-08,2020-09-21,28440,10,152,8,30.0,20.0,160,1,-13 days +00:00:00.000000000,1,10.0,15.0,36.0,C
212,__c330,https://www.instagram.com/p/CE1xuOkFNBw/,2020-09-08,2020-09-21,7309,5,230,12,40.0,20.0,242,5,-13 days +00:00:00.000000000,1,10.0,20.0,40.0,C
212,sor.andipity_,https://www.instagram.com/p/CFARJ1pMtit/,2020-09-12,2020-09-21,3271,5,192,15,40.0,20.0,207,5,-9 days +00:00:00.000000000,1,10.0,20.0,40.0,C
212,hajeewon_,https://www.instagram.com/p/CE1HNDiDnds/,2020-09-07,2020-09-21,617,5,159,8,40.0,20.0,167,1,-14 days +00:00:00.000000000,1,10.0,20.0,36.0,C
212,redlic_haeun95,https://www.instagram.com/p/CEiq8dvJeLI/,2020-08-31,2020-09-21,86663,20,3092,19,40.0,20.0,3111,20,-21 days +00:00:00.000000000,1,10.0,20.0,70.0,B
212,h_hyunh_,https://www.instagram.com/p/CE4Zt6Pl5eN/,2020-09-09,2020-09-21,8824,5,236,11,40.0,20.0,247,5,-12 days +00:00:00.000000000,1,10.0,20.0,40.0,C
212,ya.stacey,https://www.instagram.com/p/CFJy60XHN_D/,2020-09-15,2020-09-21,245074,25,3405,27,40.0,20.0,3432,20,-6 days +00:00:00.000000000,1,10.0,20.0,75.0,B
